run,param_group,param_value,stage,kind,gas in pressure[kpa],gas in temp[°C],gas in enthalpy[kJ/kg],gas out pressure[kpa],gas out temp[°C],gas out enthalpy[kJ/kg],water in temp[°C],water in enthalpy[kJ/kg],water in pressure[kpa],water out temp[°C],water out enthalpy[kJ/kg],water out pressure[kpa],gas avg velocity[m/s],water avg velocity[m/s],pressure drop fric[kpa],pressure drop minor[kpa],pressure drop total[kpa],water pressure drop fric[kpa],water pressure drop minor[kpa],water pressure drop total[kpa],Q conv[MW],Q rad[MW],Q total[MW],UA[MW/K],steam capacity[t/h]
excess_air_1.1,excess_air,1.1,HX_3,tube_bank,101.32189727880858,816.1154891616933,950.2169149213136,101.2692567298994,338.750231520337,354.9216911807135,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,8.093371998271575,,-0.03178546534824971,-0.020855083560934184,-0.0526405489091839,,,,0.8986554768806229,0.21500874451134683,1.1136642213919696,0.0031443399431513924,1.7735713670304556
excess_air_1.1,excess_air,1.1,HX_4,reversal_chamber,101.2692567298994,338.750231520337,354.9216911807135,101.26901558994234,334.0988312962096,349.464719996857,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,1.6694497047018064,,-8.095569768538183e-06,-0.00023304438728631067,-0.00024113995705484886,,,,0.001971510526952654,0.008237287764081837,0.01020879829103449,6.504937102008638e-05,0.01625807132255491
excess_air_1.1,excess_air,1.1,HX_5,tube_bank,101.26901558994234,334.0988312962096,349.464719996857,101.21837808557721,222.78016213799089,220.76289629556518,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,6.552483776485921,,-0.030596815397171132,-0.020040688968016418,-0.05063750436518755,,,,0.22267977423466054,0.018092596284863337,0.24077237051952394,0.0027274133065061865,0.38344320857478403
excess_air_1.1,excess_air,1.1,HX_6,economiser,101.21837808557721,222.78016213799089,220.76289629556518,87.63700419065907,154.5910233603525,143.60628993910225,104.79547304706188,440.0,1000.0565955946527,122.8713541532415,516.542006039287,999.9999931416598,49.60288336460996,0.03381376843483901,-9.112238979936611,-4.469134914981499,-13.581373894918112,-0.055627603648224236,-0.0009748493449659083,-0.05660245299319016,0.1442303023290123,0.00011246294919222584,0.14434276527820447,0.0021278287912961163,
excess_air_1.15,excess_air,1.15,HX_1,single_tube,101.325,1853.7967104799327,2396.931843098109,101.32218747312703,882.6615268457136,1033.5574849895963,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,5.462653306241025,,-0.0003029257301669833,-0.0025096011428415283,-0.0028125268730085115,,,,0.115491661193465,2.5448129002216398,2.6603045614151024,0.002318822640504172,4.242561527176458
excess_air_1.15,excess_air,1.15,HX_2,reversal_chamber,101.32218747312703,882.6615268457136,1033.5574849895963,101.32170146764858,827.0105521869533,960.3518814509079,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,3.2126067743117024,,-1.7785044511854543e-05,-0.000468220433928808,-0.0004860054784406626,,,,0.010403645775904575,0.13243989260435612,0.14284353838026068,0.00020994296810841938,0.22780192506059715
excess_air_1.15,excess_air,1.15,HX_3,tube_bank,101.32170146764858,827.0105521869533,960.3518814509079,101.26420893160338,344.47697127363074,360.23932878603785,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,8.520060703820159,,-0.03461841568183713,-0.022874120363310706,-0.057492536045147834,,,,0.9526592281568862,0.21831937490669032,1.1709786030635765,0.0032287243894839413,1.8674360983171603
excess_air_1.15,excess_air,1.15,HX_4,reversal_chamber,101.26420893160338,344.47697127363074,360.23932878603785,101.26394459026973,339.7951185811586,354.7618479330014,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,1.754999593368068,,-8.81451558228369e-06,-0.0002555268180650699,-0.0002643413336473536,,,,0.002109799745191339,0.008578243678923621,0.01068804342411496,6.570944207151406e-05,0.017044921280675158
excess_air_1.15,excess_air,1.15,HX_5,tube_bank,101.26394459026973,339.7951185811586,354.7618479330014,101.20882809217693,225.00550707852818,222.46499535433622,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,6.871418825385601,,-0.03320696834244419,-0.021909529750339257,-0.05511649809278344,,,,0.2396596603106901,0.01848659913486591,0.25814625944555597,0.0028043903591026204,0.4116827090375153
excess_air_1.15,excess_air,1.15,HX_6,economiser,101.20882809217693,225.00550707852818,222.46499535433622,86.31825558686414,156.7921234698328,145.5466907454366,104.79547308537627,440.0,1000.0563771143388,123.6432006390637,519.8224111463022,999.99999537092,52.236556649973295,0.033728138234062434,-9.977273679712194,-4.913298825600597,-14.890572505312791,-0.05541218134684941,-0.0009695620717860844,-0.056381743418635485,0.1499770046009472,0.00011100075139112384,0.1500880053523383,0.002153618246282975,
